campos,20
canace,1
cananor,3
canará,1
canárias,1
canas,1
cancro,1
candace,1
cândida,3
canela,2
cânfora,1
cangrejos,1
canina,1
cano,3
canora,3
canoras,1
canoro,1
cansada,4
cansado,3
cansados,4
cansam,1
cansas,1
canseiras,1
canses,1
canta,6
cantada,1
cantado,1
cantam,1
cantando,8
cantar,1
cantara,1
cantarei,1
cantarvos,1
cantassem,1
cantava,7
cante,2
cantem,1
cantigas,1
canto,23
cantos,1
cantou,1
canúsio,1
cão,4
caos,1
capacetes,1
capadoces,1
capela,1
capelas,3
capitães,1
capitaina,3
capitania,2
capitão,57
capitãomor,1
capuzes,1
cara,10
caramujos,1
caravelas,1
cárcere,1
carece,1
carga,1
cargo,5
cargos,1
caríbdis,2
caridade,1
caríssima,1
carlos,3
carmânia,2
carmesi,2
carne,9
carneiro,1
carneiros,2
carnes,4
carniceiros,1
caro,8
caros,3
carpela,1
carrega,1
carregada,2
carregadas,2
carregado,2
carregandose,1
carreta,1
carro,7
carros,2
cartago,1
cartas,1
carvalho,1
casa,13
casada,1
casado,2
casamento,1
casar,1
casarse,2
casas,5
casca,2
cascas,1
cascavéis,1
caso,21
casos,13
cáspia,1
cáspios,2
cassiopeia,1
casta,1
castela,16
castelbranco,1
castelhana,2
castelhanas,1
castelhano,14
castelhanos,3
castelos,3
castiga,1
castigado,2
castigador,1
castigando,2
castigar,2
castigará,1
castigo,11
castigos,2
castro,4
caterina,2
catigão,1
catilina,1
cativarem,1
cativeiro,3
cativo,1
catuais,2
catual,11
cauchichina,1
caudas,1
caudinas,1
causa,13
causar,1
causaram,3
causas,6
cauta,1
cautamente,1
cautelosos,1
cauto,2
cavaleiro,16
cavaleiros,9
cavalgada,1
cavalgam,1
cavalo,7
cavalos,11
cavernas,2
cavernoso,1
cecém,1
cedo,5
cega,4
cegando,1
cego,9
cegos,2
cegueira,1
ceilão,4
ceita,4
celebra,1
celebrada,4
celebrado,4
celebrando,2
celebrar,1
celebrara,1
celebrava,2
celebravam,1
célebre,4
celeste,8
celestes,1
celeuma,1
celo,2
celsa,1
cem,3
centimano,1
cento,6
centro,5
cepo,1
ceptro,3
cera,1
